,Location,Borough,Date Installed,lat,lng
1150,"Westchester Avenue with Crosby, Buhre and Edison Avenues",the Bronx,9/22/2016,40.829906,-73.873261
1151,White Plains Road and Birchall Avenue,the Bronx,1/21/2021,40.850066,-73.867904
1152,White Plains Road and East 215th Street,the Bronx,12/2/2021,40.880714,-73.864954
1153,White Plains Road and Lydig Avenue,the Bronx,7/25/2014,40.854504,-73.867717
1154,White Plains Road and Rosewood Street,the Bronx,5/10/2022,40.873226,-73.867154
1155,White Plains Road and Unionport Road,the Bronx,12/30/2020,40.84249,-73.865141
1156,White Plains Road with Bronxdale Avenue and Unionport Road,the Bronx,12/24/2020,40.816216,-73.856913
1157,Williamsbridge Road and Astor Avenue      ,the Bronx,4/11/2018,40.859711,-73.857365
1158,Williamsbridge Road and Pierce Avenue,the Bronx,5/24/2022,40.847061,-73.849073
1159,Williamsbridge Road and Sacket Avenue,the Bronx,5/27/2022,40.845994,-73.847889
1160,Williamsbridge Road and Van Nest Avenue,the Bronx,6/8/2022,40.849001,-73.850348
1161,Williamsbridge Road between Mace Avenue and Waring Avenue,the Bronx,6/29/2022,40.861164,-73.857571
